,dname,iteration,base_model,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
171,Covetype.csv,3,DT,Easy100,10.025205612182615,0.9798857452511902,0.7492137046730597,0.6430450924557546,0.9464830140625592,0.6524178199459221
172,Covetype.csv,3,DT,Cascade100,5.443831920623779,0.9875563302045754,0.8703922321426846,0.7619348149483839,0.9450396935838355,0.7534168757594538
173,Covetype.csv,3,DT,RusBoost100,5.756441116333008,0.9659554328514346,0.6907811315581497,0.6351286322413474,0.9300579094674276,0.6377797922472264
174,Covetype.csv,3,DT,DES-P,5.683288097381592,0.9774739245440942,0.8756650617892618,0.890540466692169,0.944018388101643,0.8812491954614023
175,Covetype.csv,3,DT,META-DES,2272.515355348587,0.985783571115522,0.916515007878406,0.8790805590028598,0.942851692950906,0.8688912910972967
176,Covetype.csv,3,DT,knorae,7.400562047958374,0.9546953364317604,0.8225105851031604,0.9062791335344118,0.9514588789895542,0.8983298718518157
177,Covetype.csv,3,DT,knorau,7.34625768661499,0.9889991476249494,0.9250784799413856,0.8722267206477733,0.9387044517618126,0.8614364237163213
178,Covetype.csv,3,DT,knop,16.170427799224854,0.9765394491432464,0.8301625655850476,0.8272128300730375,0.9351975538893526,0.8141959751554446
179,Covetype.csv,3,DT,DESKNN,7.470609664916992,0.9672935254649528,0.863286713625719,0.8901975893004568,0.9407839519104256,0.880893541674035
180,Covetype.csv,4,DT,SPE,5.653416872024536,0.9891730179278948,0.9050096401730788,0.7929546018357727,0.9259641272114536,0.7783838246907614
181,Covetype.csv,4,DT,Easy100,10.065186977386476,0.9803710322403628,0.7680265437360814,0.6453641785649737,0.9472674689315208,0.654666534644324
182,Covetype.csv,4,DT,Cascade100,5.518054962158203,0.9868754168224184,0.8614171205326993,0.753340231229475,0.940099055233705,0.7440068914851645
183,Covetype.csv,4,DT,RusBoost100,5.676840305328369,0.9802099914868512,0.7960411338487458,0.6876308551254157,0.9303855408885736,0.682004069398666
184,Covetype.csv,4,DT,DES-P,5.74614953994751,0.9750826682434058,0.8724357725507201,0.8845860981181334,0.942632974878662,0.8748003362802506
